Program_ID,Code,Label_Counterexample,Search_Steps
3470,"[('//', 'const_0', 'x6', 'v0'), ('//', 'x7', 'const_1', 'v1'), ('+', 'x3', 'x2', 'v2'), ('//', 'x5', 'x5', 'v3'), ('*', 'const_0', 'const_1', 'v4'), ('*', 'x4', 'v3', 'v5'), ('*', 'x5', 'x6', 'v6'), ('*', 'x7', 'v2', 'v7'), ('+', 'const_1', 'v1', 'v8'), ('+', 'v1', 'const_1', 'v9')]","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1
3471,"[('+', 'x3', 'x6', 'v0'), ('//', 'x0', 'x3', 'v1'), ('//', 'x2', 'x4', 'v2'), ('//', 'x2', 'x3', 'v3'), ('//', 'v3', 'x6', 'v4'), ('*', 'v4', 'v2', 'v5'), ('+', 'v2', 'x0', 'v6'), ('//', 'x4', 'x9', 'v7'), ('+', 'v4', 'v7', 'v8'), ('//', 'v8', 'x2', 'v9')]","(0, 0, 1, 0, 1, 0, 0, 0, 0, 1)",162
3472,"[('+', 'x2', 'const_1', 'v0'), ('*', 'x3', 'x5', 'v1'), ('*', 'v1', 'x6', 'v2'), ('//', 'v1', 'v1', 'v3'), ('*', 'x1', 'x1', 'v4'), ('*', 'v1', 'v3', 'v5'), ('+', 'x3', 'v1', 'v6'), ('+', 'x2', 'v5', 'v7'), ('+', 'v4', 'v6', 'v8'), ('//', 'x6', 'const_1', 'v9')]","(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",9
3473,"[('*', 'const_1', 'x8', 'v0'), ('//', 'x8', 'x8', 'v1'), ('//', 'v0', 'x8', 'v2'), ('*', 'v2', 'const_0', 'v3'), ('//', 'const_1', 'x5', 'v4'), ('+', 'const_1', 'v4', 'v5'), ('*', 'v2', 'x6', 'v6'), ('*', 'x6', 'x3', 'v7'), ('*', 'x8', 'x4', 'v8'), ('*', 'x5', 'x6', 'v9')]","(0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",25
3474,"[('//', 'x5', 'x9', 'v0'), ('+', 'x2', 'x3', 'v1'), ('//', 'x8', 'v1', 'v2'), ('*', 'x7', 'x2', 'v3'), ('+', 'v2', 'x9', 'v4'), ('+', 'v1', 'x4', 'v5'), ('//', 'v4', 'v2', 'v6'), ('+', 'x3', 'const_0', 'v7'), ('//', 'v3', 'x7', 'v8'), ('//', 'v5', 'x9', 'v9')]","(0, 0, 0, 0, 1, 0, 0, 0, 0, 1)",34
3475,"[('//', 'x8', 'x0', 'v0'), ('*', 'v0', 'x5', 'v1'), ('//', 'x4', 'const_1', 'v2'), ('*', 'x8', 'const_0', 'v3'), ('*', 'x7', 'const_0', 'v4'), ('+', 'x1', 'x0', 'v5'), ('//', 'x7', 'x1', 'v6'), ('//', 'x5', 'x9', 'v7'), ('+', 'x5', 'x6', 'v8'), ('//', 'x7', 'v3', 'v9')]",None,1024
3476,"[('+', 'const_1', 'x7', 'v0'), ('+', 'x9', 'x0', 'v1'), ('*', 'x5', 'x7', 'v2'), ('*', 'x9', 'x3', 'v3'), ('*', 'x2', 'v2', 'v4'), ('*', 'x1', 'v4', 'v5'), ('+', 'const_1', 'v3', 'v6'), ('+', 'v5', 'x9', 'v7'), ('//', 'x7', 'x2', 'v8'), ('//', 'v8', 'x4', 'v9')]","(0, 0, 1, 0, 1, 0, 0, 1, 0, 0)",165
3477,"[('+', 'x1', 'x7', 'v0'), ('*', 'x6', 'x0', 'v1'), ('//', 'x1', 'x8', 'v2'), ('//', 'x5', 'x1', 'v3'), ('*', 'v0', 'x1', 'v4'), ('*', 'v0', 'x7', 'v5'), ('//', 'v1', 'x4', 'v6'), ('//', 'const_0', 'v0', 'v7'), ('//', 'x6', 'x5', 'v8'), ('//', 'x4', 'v4', 'v9')]","(0, 1, 0, 0, 1, 0, 0, 0, 0, 0)",289
3478,"[('//', 'x9', 'x3', 'v0'), ('+', 'const_0', 'const_1', 'v1'), ('//', 'x3', 'x2', 'v2'), ('//', 'x8', 'v1', 'v3'), ('*', 'const_0', 'x2', 'v4'), ('+', 'x9', 'x6', 'v5'), ('*', 'v4', 'v2', 'v6'), ('*', 'v2', 'x8', 'v7'), ('+', 'const_1', 'x4', 'v8'), ('+', 'v0', 'v6', 'v9')]","(0, 0, 0, 1, 0, 0, 0, 0, 0, 1)",66
3479,"[('*', 'x2', 'x0', 'v0'), ('//', 'x7', 'x8', 'v1'), ('+', 'x2', 'x0', 'v2'), ('//', 'x9', 'x4', 'v3'), ('*', 'const_1', 'x0', 'v4'), ('+', 'x3', 'x4', 'v5'), ('+', 'x5', 'x6', 'v6'), ('//', 'x1', 'v3', 'v7'), ('*', 'v5', 'v7', 'v8'), ('*', 'x6', 'v0', 'v9')]","(1, 0, 1, 0, 0, 0, 1, 0, 0, 0)",649
3480,"[('+', 'x3', 'x3', 'v0'), ('+', 'x7', 'x1', 'v1'), ('+', 'x7', 'const_0', 'v2'), ('//', 'const_1', 'x1', 'v3'), ('+', 'x3', 'x1', 'v4'), ('+', 'v2', 'v1', 'v5'), ('//', 'x6', 'x2', 'v6'), ('//', 'x9', 'x7', 'v7'), ('+', 'v7', 'v5', 'v8'), ('+', 'x1', 'v7', 'v9')]","(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",6
3481,"[('*', 'x6', 'const_1', 'v0'), ('//', 'x9', 'x8', 'v1'), ('+', 'const_0', 'const_0', 'v2'), ('*', 'x2', 'x9', 'v3'), ('//', 'x9', 'x6', 'v4'), ('+', 'v1', 'v0', 'v5'), ('//', 'v5', 'x7', 'v6'), ('//', 'v0', 'x0', 'v7'), ('*', 'v6', 'v1', 'v8'), ('+', 'x9', 'v0', 'v9')]","(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",2
3482,"[('//', 'x3', 'x0', 'v0'), ('+', 'x6', 'x7', 'v1'), ('*', 'x5', 'x4', 'v2'), ('*', 'x4', 'x0', 'v3'), ('+', 'v1', 'x2', 'v4'), ('//', 'v4', 'x8', 'v5'), ('//', 'x6', 'x3', 'v6'), ('*', 'x8', 'x4', 'v7'), ('//', 'x2', 'x7', 'v8'), ('*', 'x7', 'x1', 'v9')]","(0, 1, 0, 0, 0, 0, 0, 1, 0, 0)",261
3483,"[('//', 'x2', 'x6', 'v0'), ('//', 'x9', 'const_1', 'v1'), ('+', 'x7', 'v1', 'v2'), ('//', 'x8', 'x9', 'v3'), ('*', 'x1', 'x2', 'v4'), ('+', 'x8', 'v4', 'v5'), ('//', 'x5', 'x6', 'v6'), ('+', 'x6', 'v4', 'v7'), ('+', 'v4', 'v6', 'v8'), ('//', 'v2', 'x4', 'v9')]","(0, 0, 0, 0, 1, 0, 0, 0, 0, 1)",34
3484,"[('//', 'x6', 'x5', 'v0'), ('*', 'x8', 'const_0', 'v1'), ('+', 'x9', 'const_1', 'v2'), ('+', 'v0', 'const_1', 'v3'), ('+', 'x3', 'v0', 'v4'), ('+', 'x0', 'const_1', 'v5'), ('*', 'x5', 'x8', 'v6'), ('*', 'const_0', 'x6', 'v7'), ('//', 'const_0', 'v5', 'v8'), ('//', 'v8', 'v4', 'v9')]",None,1024
3485,"[('+', 'x7', 'x2', 'v0'), ('+', 'x5', 'const_1', 'v1'), ('*', 'const_1', 'const_0', 'v2'), ('//', 'v2', 'x8', 'v3'), ('*', 'const_0', 'const_1', 'v4'), ('//', 'v3', 'v4', 'v5'), ('+', 'x7', 'v3', 'v6'), ('//', 'x0', 'x6', 'v7'), ('//', 'x9', 'v0', 'v8'), ('*', 'x1', 'v6', 'v9')]","(0, 1, 0, 0, 0, 0, 0, 1, 0, 0)",261
3486,"[('*', 'x7', 'x7', 'v0'), ('+', 'x1', 'v0', 'v1'), ('//', 'x7', 'x5', 'v2'), ('//', 'const_1', 'const_1', 'v3'), ('//', 'v3', 'x9', 'v4'), ('*', 'x2', 'const_0', 'v5'), ('*', 'v1', 'x0', 'v6'), ('*', 'x1', 'v4', 'v7'), ('//', 'x9', 'v3', 'v8'), ('//', 'x1', 'v7', 'v9')]","(0, 1, 0, 0, 0, 0, 0, 0, 0, 1)",258
3487,"[('*', 'x1', 'const_0', 'v0'), ('*', 'x9', 'x3', 'v1'), ('+', 'x8', 'x5', 'v2'), ('+', 'x9', 'x6', 'v3'), ('*', 'v3', 'x1', 'v4'), ('*', 'x6', 'v4', 'v5'), ('*', 'v5', 'x1', 'v6'), ('*', 'x7', 'v4', 'v7'), ('//', 'v3', 'v1', 'v8'), ('//', 'v8', 'x9', 'v9')]","(0, 0, 0, 1, 0, 0, 0, 0, 0, 1)",66
3488,"[('//', 'x3', 'x6', 'v0'), ('//', 'x5', 'const_1', 'v1'), ('//', 'x6', 'v1', 'v2'), ('+', 'x3', 'x6', 'v3'), ('//', 'x9', 'x9', 'v4'), ('*', 'v1', 'x3', 'v5'), ('//', 'x6', 'v5', 'v6'), ('//', 'x2', 'v5', 'v7'), ('//', 'x9', 'x6', 'v8'), ('+', 'v4', 'x7', 'v9')]","(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",2
3489,"[('//', 'const_0', 'x2', 'v0'), ('//', 'x3', 'x4', 'v1'), ('//', 'x0', 'x1', 'v2'), ('+', 'x1', 'x5', 'v3'), ('+', 'x6', 'x6', 'v4'), ('//', 'const_1', 'x7', 'v5'), ('*', 'v0', 'x1', 'v6'), ('+', 'v5', 'x7', 'v7'), ('*', 'v2', 'v3', 'v8'), ('*', 'x4', 'v5', 'v9')]","(0, 0, 0, 0, 1, 0, 0, 1, 0, 0)",37
3490,"[('*', 'x3', 'x8', 'v0'), ('//', 'v0', 'x6', 'v1'), ('+', 'v1', 'v1', 'v2'), ('+', 'x3', 'x6', 'v3'), ('//', 'x3', 'const_1', 'v4'), ('*', 'x1', 'x5', 'v5'), ('+', 'const_1', 'const_0', 'v6'), ('//', 'x5', 'x7', 'v7'), ('//', 'x9', 'x3', 'v8'), ('*', 'x5', 'v3', 'v9')]","(0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",25
3491,"[('//', 'x6', 'x3', 'v0'), ('//', 'v0', 'v0', 'v1'), ('*', 'x8', 'const_0', 'v2'), ('*', 'x4', 'x8', 'v3'), ('//', 'v1', 'const_1', 'v4'), ('+', 'v4', 'x3', 'v5'), ('//', 'x2', 'v3', 'v6'), ('*', 'x5', 'x7', 'v7'), ('//', 'x5', 'x0', 'v8'), ('*', 'const_0', 'v7', 'v9')]",None,1024
3492,"[('//', 'x3', 'const_1', 'v0'), ('*', 'x4', 'x4', 'v1'), ('+', 'const_1', 'x8', 'v2'), ('//', 'x1', 'v1', 'v3'), ('+', 'x5', 'x0', 'v4'), ('*', 'x1', 'v2', 'v5'), ('//', 'v2', 'x1', 'v6'), ('+', 'x9', 'v3', 'v7'), ('+', 'const_0', 'x7', 'v8'), ('+', 'const_0', 'v1', 'v9')]","(0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",33
3493,"[('//', 'x2', 'const_1', 'v0'), ('//', 'x9', 'x1', 'v1'), ('+', 'x4', 'const_0', 'v2'), ('+', 'x4', 'x8', 'v3'), ('+', 'x6', 'v2', 'v4'), ('*', 'x4', 'x7', 'v5'), ('+', 'x4', 'const_0', 'v6'), ('*', 'x9', 'x9', 'v7'), ('//', 'v7', 'v7', 'v8'), ('*', 'v1', 'x8', 'v9')]","(0, 1, 0, 0, 0, 0, 0, 0, 1, 1)",260
3494,"[('+', 'x4', 'x7', 'v0'), ('*', 'x0', 'const_0', 'v1'), ('+', 'x0', 'const_0', 'v2'), ('//', 'x0', 'x9', 'v3'), ('+', 'const_0', 'x4', 'v4'), ('//', 'v2', 'v0', 'v5'), ('*', 'v1', 'x2', 'v6'), ('*', 'v3', 'x9', 'v7'), ('+', 'const_1', 'v3', 'v8'), ('+', 'v2', 'x2', 'v9')]","(0, 0, 1, 0, 0, 0, 0, 0, 0, 0)",129
3495,"[('*', 'x6', 'x5', 'v0'), ('+', 'x1', 'x5', 'v1'), ('*', 'x4', 'x4', 'v2'), ('+', 'v2', 'v0', 'v3'), ('//', 'v1', 'const_1', 'v4'), ('*', 'x8', 'v1', 'v5'), ('*', 'x7', 'v1', 'v6'), ('*', 'v0', 'v4', 'v7'), ('//', 'v0', 'v7', 'v8'), ('//', 'x4', 'x7', 'v9')]","(0, 0, 0, 0, 1, 0, 0, 1, 0, 0)",37
3496,"[('+', 'const_1', 'x7', 'v0'), ('+', 'x5', 'x0', 'v1'), ('+', 'x9', 'v0', 'v2'), ('*', 'v0', 'v2', 'v3'), ('//', 'v2', 'x9', 'v4'), ('*', 'x1', 'x3', 'v5'), ('+', 'x5', 'x6', 'v6'), ('//', 'v6', 'v6', 'v7'), ('*', 'x3', 'v5', 'v8'), ('*', 'v4', 'x8', 'v9')]","(0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",4
3497,"[('+', 'const_0', 'x9', 'v0'), ('+', 'const_1', 'x7', 'v1'), ('//', 'x4', 'x8', 'v2'), ('*', 'const_1', 'const_1', 'v3'), ('+', 'x9', 'v0', 'v4'), ('//', 'x0', 'x8', 'v5'), ('*', 'x5', 'x3', 'v6'), ('//', 'v5', 'x7', 'v7'), ('*', 'v2', 'x5', 'v8'), ('*', 'x2', 'v4', 'v9')]","(0, 0, 1, 0, 0, 0, 0, 0, 0, 1)",130
3498,"[('//', 'x6', 'const_1', 'v0'), ('*', 'const_0', 'x3', 'v1'), ('//', 'x3', 'x9', 'v2'), ('*', 'x1', 'x3', 'v3'), ('+', 'x8', 'const_1', 'v4'), ('*', 'v3', 'x2', 'v5'), ('*', 'const_0', 'x1', 'v6'), ('//', 'x6', 'v3', 'v7'), ('//', 'x6', 'x3', 'v8'), ('+', 'const_1', 'x9', 'v9')]","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1
3499,"[('+', 'x7', 'x9', 'v0'), ('+', 'v0', 'v0', 'v1'), ('+', 'x4', 'x9', 'v2'), ('*', 'v2', 'x8', 'v3'), ('+', 'x0', 'x3', 'v4'), ('+', 'x7', 'v0', 'v5'), ('+', 'x1', 'v0', 'v6'), ('*', 'x0', 'x6', 'v7'), ('+', 'x6', 'const_1', 'v8'), ('+', 'x1', 'v1', 'v9')]","(0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",2
3500,"[('+', 'x2', 'x6', 'v0'), ('+', 'x0', 'x3', 'v1'), ('+', 'x1', 'x4', 'v2'), ('*', 'x2', 'v2', 'v3'), ('+', 'const_0', 'v2', 'v4'), ('//', 'x1', 'x0', 'v5'), ('+', 'v3', 'x8', 'v6'), ('+', 'x0', 'v0', 'v7'), ('//', 'x4', 'x0', 'v8'), ('*', 'v7', 'v0', 'v9')]","(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",9
3501,"[('+', 'const_1', 'const_0', 'v0'), ('*', 'x5', 'x7', 'v1'), ('//', 'v1', 'x4', 'v2'), ('+', 'x4', 'x7', 'v3'), ('+', 'x7', 'const_0', 'v4'), ('+', 'x8', 'const_1', 'v5'), ('*', 'x3', 'const_0', 'v6'), ('//', 'v6', 'x8', 'v7'), ('+', 'v1', 'const_1', 'v8'), ('//', 'v0', 'x3', 'v9')]","(0, 0, 0, 1, 0, 0, 0, 0, 0, 0)",65
3502,"[('*', 'const_1', 'x0', 'v0'), ('+', 'x2', 'const_1', 'v1'), ('*', 'x5', 'v0', 'v2'), ('*', 'x7', 'x9', 'v3'), ('//', 'const_0', 'v2', 'v4'), ('//', 'x1', 'x8', 'v5'), ('//', 'v2', 'x3', 'v6'), ('//', 'v0', 'v0', 'v7'), ('//', 'v6', 'v4', 'v8'), ('+', 'v0', 'v6', 'v9')]","(1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",513
3503,"[('//', 'x1', 'x4', 'v0'), ('*', 'v0', 'x1', 'v1'), ('*', 'x1', 'v0', 'v2'), ('*', 'x6', 'x3', 'v3'), ('*', 'x2', 'x6', 'v4'), ('+', 'x2', 'v1', 'v5'), ('+', 'v2', 'v1', 'v6'), ('//', 'v6', 'x6', 'v7'), ('*', 'v7', 'x5', 'v8'), ('//', 'v3', 'x1', 'v9')]","(0, 1, 0, 1, 0, 0, 1, 0, 0, 0)",329
3504,"[('*', 'x0', 'x9', 'v0'), ('+', 'x9', 'x4', 'v1'), ('//', 'x9', 'x8', 'v2'), ('+', 'x9', 'x1', 'v3'), ('*', 'x5', 'v1', 'v4'), ('*', 'v2', 'const_1', 'v5'), ('*', 'v5', 'x0', 'v6'), ('*', 'x7', 'v6', 'v7'), ('*', 'v3', 'x9', 'v8'), ('//', 'x4', 'x1', 'v9')]","(0, 1, 0, 0, 1, 0, 0, 0, 0, 0)",289
3505,"[('*', 'x1', 'x7', 'v0'), ('//', 'x6', 'x6', 'v1'), ('*', 'x3', 'const_1', 'v2'), ('*', 'x7', 'x0', 'v3'), ('*', 'v0', 'x0', 'v4'), ('+', 'v1', 'x2', 'v5'), ('*', 'x1', 'v2', 'v6'), ('//', 'x3', 'x3', 'v7'), ('+', 'x2', 'x3', 'v8'), ('//', 'x0', 'x8', 'v9')]","(1, 0, 0, 0, 0, 0, 0, 0, 1, 0)",515
3506,"[('*', 'x0', 'x8', 'v0'), ('*', 'x7', 'v0', 'v1'), ('//', 'x1', 'x3', 'v2'), ('//', 'v1', 'x3', 'v3'), ('*', 'v2', 'v0', 'v4'), ('+', 'x7', 'x4', 'v5'), ('+', 'x2', 'x0', 'v6'), ('*', 'x9', 'x3', 'v7'), ('//', 'x1', 'x3', 'v8'), ('//', 'v2', 'x7', 'v9')]","(0, 1, 0, 1, 0, 0, 0, 1, 0, 0)",325
3507,"[('+', 'x4', 'x5', 'v0'), ('//', 'x1', 'x1', 'v1'), ('+', 'x4', 'x5', 'v2'), ('*', 'v2', 'x1', 'v3'), ('+', 'const_0', 'x5', 'v4'), ('//', 'v1', 'const_1', 'v5'), ('*', 'x2', 'v0', 'v6'), ('//', 'x0', 'x7', 'v7'), ('+', 'x9', 'v3', 'v8'), ('//', 'x2', 'v5', 'v9')]","(0, 1, 1, 0, 0, 0, 0, 0, 0, 0)",385
3508,"[('*', 'const_0', 'x1', 'v0'), ('*', 'x1', 'x8', 'v1'), ('*', 'x7', 'x8', 'v2'), ('//', 'x0', 'x5', 'v3'), ('+', 'x3', 'x7', 'v4'), ('+', 'const_1', 'x7', 'v5'), ('*', 'x7', 'const_1', 'v6'), ('//', 'x8', 'v3', 'v7'), ('*', 'v2', 'const_0', 'v8'), ('*', 'v8', 'x9', 'v9')]",None,1024
3509,"[('//', 'x4', 'x4', 'v0'), ('+', 'x7', 'const_0', 'v1'), ('*', 'x3', 'x1', 'v2'), ('//', 'x6', 'const_1', 'v3'), ('*', 'v0', 'x3', 'v4'), ('*', 'x4', 'x4', 'v5'), ('//', 'v5', 'v2', 'v6'), ('+', 'v6', 'v6', 'v7'), ('*', 'x1', 'v3', 'v8'), ('//', 'v5', 'v3', 'v9')]","(0, 0, 0, 0, 1, 0, 1, 0, 0, 0)",41
3510,"[('+', 'x5', 'x4', 'v0'), ('//', 'x7', 'x0', 'v1'), ('+', 'x3', 'x1', 'v2'), ('//', 'x2', 'x6', 'v3'), ('*', 'x3', 'v3', 'v4'), ('+', 'x2', 'x9', 'v5'), ('+', 'x7', 'v2', 'v6'), ('+', 'x8', 'x2', 'v7'), ('+', 'const_1', 'x2', 'v8'), ('//', 'x3', 'x3', 'v9')]","(0, 0, 0, 1, 0, 0, 0, 0, 0, 0)",65
3511,"[('*', 'x9', 'x1', 'v0'), ('*', 'x4', 'x2', 'v1'), ('+', 'x4', 'v1', 'v2'), ('//', 'v2', 'v2', 'v3'), ('//', 'x5', 'const_1', 'v4'), ('+', 'v1', 'v1', 'v5'), ('*', 'v0', 'const_0', 'v6'), ('*', 'v3', 'x3', 'v7'), ('+', 'x2', 'v4', 'v8'), ('+', 'v2', 'x7', 'v9')]","(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",5
3512,"[('+', 'x8', 'x6', 'v0'), ('+', 'x6', 'x5', 'v1'), ('*', 'x3', 'x5', 'v2'), ('//', 'const_1', 'v0', 'v3'), ('//', 'const_1', 'x5', 'v4'), ('+', 'v1', 'v3', 'v5'), ('+', 'v1', 'v1', 'v6'), ('+', 'const_0', 'v2', 'v7'), ('+', 'const_1', 'x8', 'v8'), ('+', 'x0', 'v4', 'v9')]","(0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",17
3513,"[('+', 'x5', 'x6', 'v0'), ('*', 'x3', 'x5', 'v1'), ('+', 'v1', 'x9', 'v2'), ('*', 'v0', 'v2', 'v3'), ('*', 'x2', 'x1', 'v4'), ('*', 'x7', 'x7', 'v5'), ('*', 'x4', 'x2', 'v6'), ('*', 'const_0', 'v0', 'v7'), ('*', 'x0', 'const_1', 'v8'), ('*', 'x2', 'v1', 'v9')]","(0, 0, 1, 1, 0, 1, 0, 0, 0, 0)",209
3514,"[('*', 'x2', 'const_0', 'v0'), ('*', 'x9', 'x4', 'v1'), ('+', 'x5', 'const_0', 'v2'), ('*', 'x1', 'x4', 'v3'), ('*', 'x0', 'x9', 'v4'), ('*', 'v3', 'x0', 'v5'), ('//', 'const_0', 'const_1', 'v6'), ('*', 'x6', 'v6', 'v7'), ('+', 'v6', 'const_0', 'v8'), ('+', 'x0', 'x2', 'v9')]","(0, 0, 1, 0, 0, 0, 0, 0, 0, 0)",129
3515,"[('//', 'x9', 'x9', 'v0'), ('//', 'x6', 'x8', 'v1'), ('*', 'x1', 'x2', 'v2'), ('+', 'const_0', 'x5', 'v3'), ('+', 'const_0', 'const_0', 'v4'), ('//', 'x2', 'const_1', 'v5'), ('*', 'const_0', 'v2', 'v6'), ('//', 'v0', 'x7', 'v7'), ('//', 'v2', 'x5', 'v8'), ('//', 'v4', 'v5', 'v9')]",None,1024
3516,"[('//', 'const_0', 'x9', 'v0'), ('+', 'x3', 'x0', 'v1'), ('//', 'x8', 'x5', 'v2'), ('//', 'x1', 'v0', 'v3'), ('+', 'x0', 'x8', 'v4'), ('//', 'x3', 'x9', 'v5'), ('*', 'x9', 'x4', 'v6'), ('*', 'x3', 'x0', 'v7'), ('*', 'x0', 'v7', 'v8'), ('+', 'v3', 'const_0', 'v9')]",None,1024
3517,"[('*', 'const_0', 'x3', 'v0'), ('+', 'const_0', 'x6', 'v1'), ('*', 'x0', 'x8', 'v2'), ('*', 'v2', 'v2', 'v3'), ('+', 'x5', 'const_1', 'v4'), ('*', 'x6', 'const_0', 'v5'), ('+', 'x0', 'v2', 'v6'), ('*', 'x1', 'v4', 'v7'), ('*', 'v4', 'x5', 'v8'), ('//', 'x0', 'x0', 'v9')]","(1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",513
3518,"[('*', 'x9', 'x0', 'v0'), ('//', 'x0', 'const_1', 'v1'), ('*', 'x0', 'v0', 'v2'), ('//', 'x1', 'x7', 'v3'), ('+', 'x9', 'x3', 'v4'), ('//', 'const_0', 'const_1', 'v5'), ('+', 'v2', 'x0', 'v6'), ('+', 'v6', 'const_1', 'v7'), ('+', 'v6', 'x9', 'v8'), ('//', 'x9', 'x7', 'v9')]","(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",6
3519,"[('//', 'x2', 'const_1', 'v0'), ('+', 'x5', 'v0', 'v1'), ('+', 'v1', 'x0', 'v2'), ('+', 'v2', 'x5', 'v3'), ('+', 'x3', 'v1', 'v4'), ('+', 'v1', 'x7', 'v5'), ('*', 'v2', 'x7', 'v6'), ('//', 'v5', 'v6', 'v7'), ('*', 'x8', 'v7', 'v8'), ('*', 'x4', 'v7', 'v9')]","(0, 0, 0, 0, 1, 1, 0, 1, 0, 0)",53
3520,"[('//', 'const_0', 'x5', 'v0'), ('+', 'x2', 'x2', 'v1'), ('+', 'x5', 'const_0', 'v2'), ('*', 'v2', 'v1', 'v3'), ('*', 'x0', 'x5', 'v4'), ('//', 'x2', 'v4', 'v5'), ('//', 'x6', 'v2', 'v6'), ('//', 'const_0', 'x1', 'v7'), ('//', 'const_0', 'v7', 'v8'), ('//', 'x5', 'x0', 'v9')]","(1, 0, 0, 0, 0, 1, 0, 0, 0, 0)",529
3521,"[('//', 'x9', 'const_1', 'v0'), ('+', 'x8', 'x2', 'v1'), ('*', 'const_1', 'v0', 'v2'), ('//', 'x2', 'x2', 'v3'), ('+', 'x7', 'const_1', 'v4'), ('*', 'x0', 'v2', 'v5'), ('*', 'x8', 'x9', 'v6'), ('+', 'const_0', 'const_1', 'v7'), ('*', 'x7', 'v3', 'v8'), ('//', 'x8', 'const_1', 'v9')]","(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",3
3522,"[('+', 'x8', 'const_0', 'v0'), ('*', 'x5', 'x2', 'v1'), ('*', 'x2', 'x7', 'v2'), ('//', 'x8', 'const_1', 'v3'), ('+', 'x4', 'const_1', 'v4'), ('+', 'x2', 'x4', 'v5'), ('//', 'const_1', 'x3', 'v6'), ('+', 'x6', 'v2', 'v7'), ('//', 'const_0', 'x8', 'v8'), ('+', 'v2', 'x2', 'v9')]","(0, 0, 1, 0, 0, 0, 0, 0, 0, 0)",129
3523,"[('//', 'x8', 'x0', 'v0'), ('+', 'x9', 'const_0', 'v1'), ('+', 'x7', 'x3', 'v2'), ('+', 'x5', 'x3', 'v3'), ('*', 'x6', 'x9', 'v4'), ('*', 'x1', 'x6', 'v5'), ('*', 'v0', 'v3', 'v6'), ('*', 'x6', 'v0', 'v7'), ('//', 'v2', 'v2', 'v8'), ('//', 'v4', 'x3', 'v9')]","(0, 0, 0, 1, 0, 0, 1, 0, 0, 1)",74
3524,"[('+', 'x4', 'x3', 'v0'), ('//', 'x3', 'x0', 'v1'), ('+', 'x7', 'x1', 'v2'), ('*', 'v1', 'x0', 'v3'), ('//', 'v3', 'x9', 'v4'), ('//', 'v0', 'x3', 'v5'), ('*', 'x0', 'x1', 'v6'), ('+', 'x8', 'x8', 'v7'), ('+', 'x2', 'v0', 'v8'), ('*', 'x6', 'v3', 'v9')]","(1, 0, 0, 1, 0, 0, 1, 0, 0, 0)",585
3525,"[('+', 'x5', 'x0', 'v0'), ('+', 'x4', 'x1', 'v1'), ('//', 'x1', 'x0', 'v2'), ('//', 'const_1', 'x3', 'v3'), ('*', 'v3', 'const_0', 'v4'), ('+', 'x4', 'v3', 'v5'), ('//', 'const_1', 'v1', 'v6'), ('//', 'v6', 'x4', 'v7'), ('//', 'x2', 'const_1', 'v8'), ('+', 'x4', 'x8', 'v9')]","(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",3
3526,"[('*', 'x0', 'x9', 'v0'), ('+', 'x6', 'x7', 'v1'), ('//', 'x9', 'const_1', 'v2'), ('//', 'v2', 'x0', 'v3'), ('+', 'x4', 'x7', 'v4'), ('+', 'x2', 'x7', 'v5'), ('//', 'v0', 'x7', 'v6'), ('+', 'v4', 'const_0', 'v7'), ('+', 'v1', 'v4', 'v8'), ('+', 'x5', 'v7', 'v9')]","(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",5
3527,"[('+', 'x5', 'x5', 'v0'), ('+', 'x7', 'x9', 'v1'), ('//', 'x9', 'x4', 'v2'), ('+', 'v2', 'x3', 'v3'), ('+', 'x7', 'x1', 'v4'), ('//', 'x8', 'v1', 'v5'), ('//', 'v0', 'x0', 'v6'), ('*', 'x9', 'x8', 'v7'), ('*', 'v1', 'v5', 'v8'), ('+', 'x8', 'x3', 'v9')]","(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",3
